Clean dataset
Avg Accuracy, 84.6700 %
Accuracy of plane, 86.7000 %
Accuracy of car, 92.9000 %
Accuracy of bird, 75.8000 %
Accuracy of cat, 69.7000 %
Accuracy of deer, 82.9000 %
Accuracy of dog, 77.1000 %
Accuracy of frog, 89.3000 %
Accuracy of horse, 88.8000 %
Accuracy of ship, 92.0000 %
Accuracy of truck, 91.5000 %
Untargeted fgsm attack
Avg Accuracy, 16.1200 %
Accuracy of plane, 11.8000 %
Accuracy of car, 19.1000 %
Accuracy of bird, 17.1000 %
Accuracy of cat, 9.4000 %
Accuracy of deer, 17.1000 %
Accuracy of dog, 17.5000 %
Accuracy of frog, 21.0000 %
Accuracy of horse, 15.9000 %
Accuracy of ship, 18.1000 %
Accuracy of truck, 14.2000 %
Targeted fgsm attack
Avg Accuracy, 5.7500 %
Accuracy of plane, 3.9000 %
Accuracy of car, 4.7000 %
Accuracy of bird, 7.6000 %
Accuracy of cat, 8.7000 %
Accuracy of deer, 6.7000 %
Accuracy of dog, 8.0000 %
Accuracy of frog, 7.3000 %
Accuracy of horse, 2.7000 %
Accuracy of ship, 5.1000 %
Accuracy of truck, 2.8000 %
Untargeted bim attack
Avg Accuracy, 0.0000 %
Accuracy of plane, 0.0000 %
Accuracy of car, 0.0000 %
Accuracy of bird, 0.0000 %
Accuracy of cat, 0.0000 %
Accuracy of deer, 0.0000 %
Accuracy of dog, 0.0000 %
Accuracy of frog, 0.0000 %
Accuracy of horse, 0.0000 %
Accuracy of ship, 0.0000 %
Accuracy of truck, 0.0000 %
Targeted bim attack
Avg Accuracy, 12.4000 %
Accuracy of plane, 10.7000 %
Accuracy of car, 7.7000 %
Accuracy of bird, 15.4000 %
Accuracy of cat, 17.3000 %
Accuracy of deer, 15.1000 %
Accuracy of dog, 15.4000 %
Accuracy of frog, 12.3000 %
Accuracy of horse, 11.3000 %
Accuracy of ship, 9.3000 %
Accuracy of truck, 9.5000 %
Untargeted linf_pgd attack
Avg Accuracy, 0.0000 %
Accuracy of plane, 0.0000 %
Accuracy of car, 0.0000 %
Accuracy of bird, 0.0000 %
Accuracy of cat, 0.0000 %
Accuracy of deer, 0.0000 %
Accuracy of dog, 0.0000 %
Accuracy of frog, 0.0000 %
Accuracy of horse, 0.0000 %
Accuracy of ship, 0.0000 %
Accuracy of truck, 0.0000 %
Targeted linf_pgd attack
Avg Accuracy, 11.4000 %
Accuracy of plane, 6.9000 %
Accuracy of car, 9.7000 %
Accuracy of bird, 15.6000 %
Accuracy of cat, 41.3000 %
Accuracy of deer, 9.5000 %
Accuracy of dog, 10.5000 %
Accuracy of frog, 4.0000 %
Accuracy of horse, 5.7000 %
Accuracy of ship, 4.4000 %
Accuracy of truck, 6.4000 %
